日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語（簡）,中国語（繁）
サイコシード,Psychic Seed,Graine Psycho,Psycho-Samen,Psicoseme,Semilla Psique,사이코시드,精神种子,精神種子
グランドコート,Terrain Extender,Champ’Duit,Feldbeschichtung,Fissacampo,Cubresuelos,그라운드코트,大地膜,
ぼうごパット,Protective Pads,Pare-Effet,Schutzpolster,Smorzaurti,Paracontacto,방호패드,部位护具,部位護具
ルームサービス,Room Service,Chariot Distordu,Bizarroservice,Distorservizio,Servicio Raro,룸서비스,客房服务,客房服務
だっしゅつパック,Eject Pack,Sac Fuite,Fluchttasche,Zainofuga,Mochila Escape,탈출팩,避难背包,避難背包
あつぞこブーツ,Heavy-Duty Boots,Grosses Bottes,Plateauschuhe,Scarponi robusti,Botas Gruesas,통굽부츠,厚底靴,厚底靴
からぶりほけん,Blunder Policy,Assurance Échec,Fehlschlagschutz,Fiascopolizza,Seguro Fallo,허탕보험,打空保险,打空保險
のどスプレー,Throat Spray,Spray Gorge,Halsspray,Spray gola,Espray Bucal,목스프레이,爽喉喷雾,爽喉噴霧
ばんのうがさ,Utility Umbrella,Parapluie Solide,Allzweckschirm,Superombrello,Parasol Multiuso,만능우산,万能伞,萬能傘
くちたけん,Rusted Sword,Épée Rouillée,Rostiges Schwert,Spada rovinata,Espada Oxidada,녹슨검,腐朽的剑,腐朽的劍
くちたたて,Rusted Shield,Bouclier Rouillé,Rostiger Schild,Scudo rovinato,Escudo Oxidado,녹슨방패,腐朽的盾,腐朽的盾
いかさまダイス,Loaded Dice,Dé Pipé,Gezinkter Würfel,Dado truccato,Dado Trucado,속임수주사위,机变骰子,老千骰子
おんみつマント,Covert Cloak,Cape Obscure,Tarnumhang,Anonimanto,Capa Furtiva,은밀망토,密探斗篷,密探斗篷
クリアチャーム,Clear Amulet,Talisman Sain,Neutralschmuck,Ciondolochiaro,Amuleto Puro,클리어참,清净坠饰,清淨墜飾
とくせいガード,Ability Shield,Garde-Talent,Fähigkeitenschild,Scudo abilità,Escudo Habilidad,특성가드,特性护具,特性護具
パンチグローブ,Punching Glove,Gant de Boxe,Boxhandschuh,Guantone,Guante de Boxeo,펀치글러브,拳击手套,拳擊手套
ブーストエナジー,Booster Energy,Énergie Booster,Energiekapsel,Capsula energetica,Energía Potenciadora,부스트에너지,驱劲能量,驅勁能量
ものまねハーブ,Mirror Herb,Feuille Copieuse,Kopierkraut,Foglia carbone,Hierba Copia,흉내허브,模仿香草,模仿香草
だいこんごうだま,Adamant Crystal,Globe Adamant,Adamantkristall,Adamasferoide,Gran Diamansfera,큰금강옥,大金刚宝玉,大金剛寶玉
だいしらたま,Lustrous Globe,Globe Perlé,Weißkristall,Splendisferoide,Gran Lustresfera,큰백옥,大白宝玉,大白寶玉
だいはっきんだま,Griseous Core,Globe Platiné,Platinumkristall,Grigiosferoide,Gran Griseosfera,큰백금옥,大白金宝玉,大白金寶玉
ようせいのハネ,Fairy Feather,Plume Enchantée,Feendaune,Piuma fatata,Pluma Feérica,요정의깃털,妖精之羽,妖精之羽
いどのめん,Wellspring Mask,Masque du Puits,Brunnenmaske,Maschera Pozzo,Máscara Fuente,우물의가면,水井面具,水井面具
かまどのめん,Hearthflame Mask,Masque du Fourneau,Ofenmaske,Maschera Focolare,Máscara Horno,화덕의가면,火灶面具,火灶面具
いしずえのめん,Cornerstone Mask,Masque de la Pierre,Fundamentmaske,Maschera Fondamenta,Máscara Cimiento,주춧돌의가면,础石面具,礎石面具
モンスターボール,Poké Ball,Poké Ball,Pokéball,Poké Ball,Poké Ball,몬스터볼,精灵球,精靈球
スーパーボール,Great Ball,Super Ball,Superball,Mega Ball,Superball*,수퍼볼,超级球,超級球
ハイパーボール,Ultra Ball,Hyper Ball,Hyperball,Ultra Ball,Ultraball*,하이퍼볼,高级球,高級球
マスターボール,Master Ball,Master Ball,Meisterball,Master Ball,Master Ball,마스터볼,大师球,大師球
サファリボール,Safari Ball,Safari Ball,Safariball,Safari Ball,Safari Ball,사파리볼,狩猎球,狩獵球
ヘビーボール,Heavy Ball,Masse Ball,Schwerball,Peso Ball,Peso Ball,헤비볼,沉重球,沉重球
レベルボール,Level Ball,Niveau Ball,Levelball,Level Ball,Nivel Ball,레벨볼,等级球,等級球
ルアーボール,Lure Ball,Appat Ball,Köderball,Esca Ball,Cebo Ball,루어볼,诱饵球,誘餌球
スピードボール,Fast Ball,Speed Ball,Turboball,Rapid Ball,Rapid Ball,스피드볼,速度球,
フレンドボール,Friend Ball,Copain Ball,Freundesball,Friend Ball,Amigo Ball,프랜드볼,友友球,
ムーンボール,Moon Ball,Lune Ball,Mondball,Luna Ball,Luna Ball,문볼,月亮球,
ラブラブボール,Love Ball,Love Ball,Sympaball,Love Ball,Amor Ball,러브러브볼,甜蜜球,
コンペボール,Sport Ball,Compét'Ball,Turnierball,Gara Ball,Competi Ball,콤페볼,竞赛球,競賽球
ネットボール,Net Ball,Filet Ball,Netzball,Rete Ball,Malla Ball,넷트볼,捕网球,捕網球
ダイブボール,Dive Ball,Scuba Ball,Tauchball,Sub Ball,Buceo Ball,다이브볼,潜水球,潛水球
ネストボール,Nest Ball,Faiblo Ball,Nestball,Minor Ball,Nido Ball,네스트볼,巢穴球,
リピートボール,Repeat Ball,Bis Ball,Wiederball,Bis Ball,Acopio Ball,리피드볼,重复球,重複球
タイマーボール,Timer Ball,Chrono Ball,Timerball,Timer Ball,Turno Ball,타이마볼,计时球,計時球
ゴージャスボール,Luxury Ball,Luxe Ball,Luxusball,Chich Ball,Lujo Ball,럭셔리볼,豪华球,豪華球
プレミアボール,Premier Ball,Honor Ball,Premierball,Premier Ball,Honor Ball,프레미어볼,纪念球,紀念球
ヒールボール,Heal Ball,Soin Ball,Heilball,Cura Ball,Sana Ball,힐볼,治愈球,治癒球
ダークボール,Dusk Ball,Sombre Ball,Finsterball,Scuro Ball,Ocaso Ball,다크볼,黑暗球,
クイックボール,Quick Ball,Rapide Ball,Flottball,Velox Ball,Veloz Ball,퀵볼,先机球,先機球
パークボール,Park Ball,Parc Ball,Parkball,Parco Ball,Parque Ball,파크볼,,
プレシャスボール,Cherish Ball,Mémoire Ball,Jubelball,Pregio Ball,Gloria Ball,프레셔스볼,贵重球,貴重球
ドリームボール,Dream Ball,Rêve Ball,Traumball,Dream Ball,Ensueño Ball,드림볼,梦境球,夢境球
ウルトラボール,Beast Ball,Ultra Ball,Ultraball,UC Ball,Ente Ball,울트라볼,究极球,究極球
メガトンボール,Leaden Ball,Mégamasse Ball,Zentnerball,Megaton Ball,Kilo Ball,메가톤볼,超重球,超重球
ギガトンボール,Gigaton Ball,Gigamasse Ball,Tonnenball,Gigaton Ball,Quintal Ball,기가톤볼,巨重球,巨重球
フェザーボール,Feather Ball,Plume Ball,Federball,Piuma Ball,Pluma Ball,페더볼,飞羽球,飛羽球
ウイングボール,Wing Ball,Envol Ball,Flügelball,Wing Ball,Ala Ball,윙볼,飞翼球,飛翼球
ジェットボール,Jet Ball,Propulse Ball,Düsenball,Jet Ball,Aero Ball,제트볼,飞梭球,飛梭球
たいようのいし,Sun Stone,Pierre Soleil,Sonnenstein,Pietrasolare,Piedra Solar,태양의돌,日之石,
つきのいし,Moon Stone,Pierre Lune,Mondstein,Pietralunare,Piedra Lunar,달의돌,月之石,
ほのおのいし,Fire Stone,Pierre Feu,Feuerstein,Pietrafocaia,Piedra Fuego,불꽃의돌,火之石,
かみなりのいし,Thunder Stone,Pierre Foudre,Donnerstein,Pietratuono,Piedra Trueno,천둥의돌,雷之石,
みずのいし,Water Stone,Pierre Eau,Wasserstein,Pietraidrica,Piedra Agua,물의돌,水之石,
リーフのいし,Leaf Stone,Pierre Plante,Blattstein,Pietrafoglia,Piedra Hoja,리프의돌,叶之石,葉之石
ひかりのいし,Shiny Stone,Pierre Éclat,Leuchtstein,Pietrabrillo,Piedra Día,빛의돌,光之石,
やみのいし,Dusk Stone,Pierre Nuit,Finsterstein,Neropietra,Piedra Noche,어둠의돌,暗之石,
めざめいし,Dawn Stone,Pierre Aube,Funkelstein,Pietralbore,Piedra Alba,각성의돌,觉醒之石,覺醒之石
こおりのいし,Ice Stone,Pierre Glace,Eisstein,Pietragelo,Piedra Hielo,얼음의돌,冰之石,
すっぱいりんご,Tart Apple,Pomme Acidulée,Saurer Apfel,Aspropomo,Manzana Ácida,새콤한사과,酸酸苹果,酸酸蘋果
あまーいりんご,Sweet Apple,Pomme Sucrée,Süßer Apfel,Dolcepomo,Manzana Dulce,달콤한사과,甜甜苹果,甜甜蘋果
われたポット,Cracked Pot,Théière Fêlée,Rissige Kanne,Teiera rotta,Tetera agrietada,깨진포트,破裂的茶壶,破裂的茶壺
かけたポット,Chipped Pot,Théière Ébréchée,Löchrige Kanne,Teiera crepata,Tetera Rota,이빠진포트,缺损的茶壶,缺損的茶壺
ガラナツブレス,Galarica Cuff,Bracelet Galanoa,Galarnuss-Reif,Fascia Galarnoce,Brazal Galanuez,가라두구팔찌,伽勒豆蔻手环,伽勒荳蔻手環
ガラナツリース,Galarica Wreath,Couronne Galanoa,Galarnuss-Kranz,Corona Galarnoce,Corona Galanuez,가라두구머리장식,伽勒豆蔻花圈,伽勒荳蔻花圈
いちごアメざいく,Strawberry Sweet,Fraise en Sucre,Zucker-Erdbeere,Bonbonfragola,Confite Fresa,딸기사탕공예,草莓糖饰,草莓糖飾
ハートアメざいく,Love Sweet,Cœur en Sucre,Zucker-Herz,Bonboncuore,Confite Corazón,하트사탕공예,爱心糖饰,愛心糖飾
ベリーアメざいく,Berry Sweet,Baie en Sucre,Zucker-Beere,Bonbonbosco,Confite Fruto,베리사탕공예,野莓糖饰,野莓糖飾
よつばアメざいく,Clover Sweet,Trèfle en Sucre,Zucker-Kleeblatt,Bonbonfoglio,Confite Trébol,네잎사탕공예,幸运草糖饰,幸運草糖飾
おはなアメざいく,Flower Sweet,Fleur en Sucre en Sucre,Zucker-Blume,Bonbonfiore,Confite Flor,꽃사탕공예,花朵糖饰,花朵糖飾
スターアメざいく,Star Sweet,Étoile en Sucre,Zucker-Stern,Bonbonstella,Confite Estrella,스타사탕공예,星星糖饰,星星糖飾
リボンアメざいく,Ribbon Sweet,Ruban en Sucre,Zucker-Schleife,Bonbonfiocco,Confite Lazo,리본사탕공예,蝴蝶结糖饰,蝴蝶結糖飾
つながりのヒモ,Linking Cord,Fil de Liaison,Verbindungsschnur,Filo dell'unione,Cordón Unión,연결의끈,联系绳,聯繫绳
くろのきせき,Black Augurite,Obsidienne,Schwarzaugit,Augite nera,Mineral Negro,검은휘석,黑奇石,黑奇石
ピートブロック,Peat Block,Bloc de Tourbe,Torfblock,Blocco di torba,Bloque de Turba,피트블록,泥炭块,泥炭塊
イワイノヨロイ,Auspicious Armor,Armure de la Fortune,Glorienrüstung,Armatura fausta,Armadura Auspiciosa,축복받은갑옷,庆祝之铠,慶祝之鎧
ノロイノヨロイ,Malicious Armor,Armure de la Rancune,Fluchrüstung,Armatura infausta,Armadura Maldita,저주받은갑옷,咒术之铠,詛咒之鎧
みついりりんご,Syrupy Apple,Pomme Nectar,Saftiger Apfel,Sciroppomo,Manzana melosa,꿀맛사과,蜜汁苹果,蜜汁蘋果
ボンサクのちゃわん,Unremarkable Teacup,Bol Médiocre,Simple Teeschale,Tazza dozzinale,Cuenco Mediocre,범작찻잔,凡作茶碗,凡作茶碗
ケッサクのちゃわん,Masterpiece Teacup,Bol Exceptionnel,Edle Teeschale,Tazza eccezionale,Cuenco Exquisito,걸작찻잔,杰作茶碗,傑作茶碗
ふくごうきんぞく,Metal Alloy,Métal Composite,Legierungsmetall,Metallo composito,Metal Compuesto,복합금속,复合金属,複合金屬
フシギバナイト,Venusaurite,Florizarrite,Bisaflornit,Venusaurite,Venusaurita,이상해꽃나이트,妙蛙花进化石,妙蛙花進化石
リザードナイトX,Charizardite X,Dracaufite X,Gluraknit X,Charizardite X,Charizardita X,리자몽나이트X,喷火龙进化石X,噴火龍進化石Ｘ
リザードナイトY,Charizardite Y,Dracaufite Y,Gluraknit Y,Charizardite Y,Charizardita Y,리자몽나이트Y,喷火龙进化石Y,噴火龍進化石Ｙ
カメックスナイト,Blastoisinite,Tortankite,Turtoknit,Blastoisite,Blastoisita,거북왕나이트,水箭龟进化石,水箭龜進化石
フーディナイト,Alakazite,Alakazamite,Simsalanit,Alakazamite,Alakazamita,후디나이트,胡地进化石,胡地進化石
ゲンガナイト,Gengarite,Ectoplasmite,Gengarnit,Gengarite,Gengarita,팬텀나이트,耿鬼进化石,耿鬼進化石
ガルーラナイト,Kangaskhanite,Kangourexite,Kangamanit,Kangaskhanite,Kangaskhanita,캥카나이트,袋兽进化石,袋獸進化石
カイロスナイト,Pinsirite,Scarabruite,Pinsirnit,Pinsirite,Pinsirita,쁘사이저나이트,凯罗斯进化石,凱羅斯進化石
ギャラドスナイト,Gyaradosite,Léviatorite,Garadosnit,Gyaradosite,Gyaradosita,갸라도스나이트,暴鲤龙进化石,暴鯉龍進化石
プテラナイト,Aerodactylite,Ptéraïte,Aerodactylonit,Aerodactylite,Aerodactylita,프테라나이트,化石翼龙进化石,化石翼龍進化石
ミュウツナイトX,Mewtwonite X,Mewtwoïte X,Mewtunit X,Mewtwoite X,Mewtwoita X,뮤츠나이트X,超梦进化石X,超夢進化石Ｘ
ミュウツナイトY,Mewtwonite Y,Mewtwoïte Y,Mewtunit Y,Mewtwoite Y,Mewtwoita Y,뮤츠나이트Y,超梦进化石Y,超夢進化石Ｙ
デンリュウナイト,Ampharosite,Pharampite,Ampharosnit,Ampharosite,Ampharosita,전룡나이트,电龙进化石,電龍進化石
ハッサムナイト,Scizorite,Cizayoxite,Scheroxnit,Scizorite,Scizorita,핫삼나이트,巨钳螳螂进化石,巨鉗螳螂進化石
ヘラクロスナイト,Heracronite,Scarhinoïte,Skarabornit,Heracrossite,Heracrossita,헤라크로스나이트,赫拉克罗斯进化石,赫拉克羅斯進化石
ヘルガナイト,Houndoominite,Démolossite,Hundemonit,Houndoomite,Houndoomita,헬가나이트,黑鲁加进化石,黑魯加進化石
バンギラスナイト,Tyranitarite,Tyranocivite,Despotarnit,Tyranitarite,Tyranitarita,마기라스나이트,班基拉斯进化石,班基拉斯進化石
バシャーモナイト,Blazikenite,Braségalite,Lohgocknit,Blazikenite,Blazikenita,번치코나이트,火焰鸡进化石,火焰雞進化石
サーナイトナイト,Gardevoirite,Gardevoirite,Guardevoirnit,Gardevoirite,Gardevoirita,가디안나이트,沙奈朵进化石,沙奈朵進化石
クチートナイト,Mawilite,Mysdibulite,Flunkifernit,Mawilite,Mawilita,입치트나이트,大嘴娃进化石,大嘴娃進化石
ボスゴドラナイト,Aggronite,Galekingite,Stollossnit,Aggronite,Aggronita,보스로라나이트,波士可多拉进化石,波士可多拉進化石
チャーレムナイト,Medichamite,Charminite,Meditalisnit,Medichamite,Medichamita,요가램나이트,恰雷姆进化石,恰雷姆進化石
ライボルトナイト,Manectite,Élecsprintite,Voltensonit,Manectricite,Manectricita,썬더볼트나이트,雷电兽进化石,雷電獸進化石
ジュペッタナイト,Banettite,Branettite,Banetteonit,Banettite,Banettita,다크펫나이트,诅咒娃娃进化石,詛咒娃娃進化石
アブソルナイト,Absolite,Absolite,Absolnit,Absolite,Absolita,앱솔나이트,阿勃梭鲁进化石,阿勃梭魯進化石
ラティアスナイト,Latiasite,Latiasite,Latiasnit,Latiasite,Latiasita,라티아스나이트,拉帝亚斯进化石,拉帝亞斯進化石
ラティオスナイト,Latiosite,Latiosite,Latiosnit,Latiosite,Latiosita,라티오스나이트,拉帝欧斯进化石,拉帝歐斯進化石
ガブリアスナイト,Garchompite,Carchacrokite,Knakracknit,Garchompite,Garchompita,한카리아스나이트,烈咬陆鲨进化石,烈咬陸鯊進化石
ルカリオナイト,Lucarionite,Lucarite,Lucarionit,Lucarite,Lucarita,루카리오나이트,路卡利欧进化石,路卡利歐進化石
ユキノオナイト,Abomasite,Blizzarite,Rexblisarnit,Abomasnowite,Abomasnowita,눈설왕나이트,暴雪王进化石,暴雪王進化石
スピアナイト,Beedrillite,Dardargnite,Bibornit,Beedrillite,Beedrillita,독침붕나이트,大针蜂进化石,大針蜂進化石
ピジョットナイト,Pidgeotite,Roucarnagite,Taubossnit,Pidgeotite,Pidgeotita,피죤투나이트,大比鸟进化石,大比鳥進化石
ヤドランナイト,Slowbronite,Flagadossite,Lahmusnit,Slowbroite,Slowbronita,야도란나이트,呆壳兽进化石,呆殼獸進化石
ハガネールナイト,Steelixite,Steelixite,Stahlosnit,Steelixite,Steelixita,강철톤나이트,大钢蛇进化石,大鋼蛇進化石
ジュカインナイト,Sceptilite,Jungkite,Gewaldronit,Sceptilite,Sceptilita,나무킹나이트,蜥蜴王进化石,蜥蜴王進化石
ラグラージナイト,Swampertite,Laggronite,Sumpexnit,Swampertite,Swampertita,대짱이나이트,巨沼怪进化石,巨沼怪進化石
ヤミラミナイト,Sablenite,Ténéfixite,Zobirisnit,Sableyite,Sableynita,깜까미나이트,勾魂眼进化石,勾魂眼進化石
サメハダナイト,Sharpedonite,Sharpedite,Tohaidonit,Sharpedite,Sharpedonita,샤크니아나이트,巨牙鲨进化石,巨牙鯊進化石
バクーダナイト,Cameruptite,Caméruptite,Cameruptnit,Cameruptite,Cameruptita,폭타나이트,喷火驼进化石,噴火駝進化石
チルタリスナイト,Altarianite,Altarite,Altarianit,Altarite,Altarianita,파비코리나이트,七夕青鸟进化石,七夕青鳥進化石
オニゴーリナイト,Glalitite,Oniglalite,Firnontornit,Glalite,Glalita,얼음귀신나이트,冰鬼护进化石,冰鬼護進化石
ボーマンダナイト,Salamencite,Drattakite,Brutalandanit,Salamencite,Salamencita,보만다나이트,暴飞龙进化石,暴飛龍進化石
メタグロスナイト,Metagrossite,Métalossite,Metagrossnit,Metagrossite,Metagrossita,메타그로스나이트,巨金怪进化石,巨金怪進化石
ミミロップナイト,Lopunnite,Lockpinite,Schlapornit,Lopunnite,Lopunnita,이어롭나이트,长耳兔进化石,長耳兔進化石
エルレイドナイト,Galladite,Gallamite,Galagladinit,Galladite,Galladita,엘레이드나이트,艾路雷朵进化石,艾路雷朵進化石
タブンネナイト,Audinite,Nanméouïte,Ohrdochnit,Audinite,Audinita,다부니나이트,差不多娃娃进化石,差不多娃娃進化石
ディアンシナイト,Diancite,Diancite,Diancienit,Diancite,Diancita,디안시나이트,蒂安希进化石,蒂安希進化石
ピクシナイト,Clefablite,Mélodelfite,Pixinit,Clefablite,Clefablita,픽시나이트,皮可西进化石,皮可西進化石
ウツボットナイト,Victreebelite,Empiflorite,Sarzenianit,Victreebelite,Victreebelita,우츠보트나이트,大食花进化石,大食花進化石
スターミナイト,Starminite,Starossite,Starmienit,Starmite,Starmita,아쿠스타나이트,宝石海星进化石,寶石海星進化石
カイリュナイト,Dragoninite,Dracolossite,Dragoranit,Dragonitite,Dragonitita,망나뇽나이트,快龙进化石,快龍進化石
メガニウムナイト,Meganiumite,Méganiumite,Meganienit,Meganiumite,Meganiumita,메가니움나이트,大竺葵进化石,大竺葵進化石
オーダイルナイト,Feraligite,Aligatueurite,Impergatornit,Feraligatrite,Feraligatrita,장크로다일나이트,大力鳄进化石,大力鱷進化石
エアームドナイト,Skarmorite,Airmurite,Panzaeronit,Skarmorite,Skarmorita,무장조나이트,盔甲鸟进化石,盔甲鳥進化石
ユキメノコナイト,Froslassite,Momartikite,Frosdedjenit,Froslassite,Froslassita,눈여아나이트,雪妖女进化石,雪妖女進化石
エンブオナイト,Emboarite,Roitiflamite,Flambirexonit,Emboarite,Emboarita,염무왕나이트,炎武王进化石,炎武王進化石
ドリュウズナイト,Excadrite,Minotaupite,Stalobornit,Excadrillite,Excadrillita,몰드류나이트,龙头地鼠进化石,龍頭地鼠進化石
ペンドラナイト,Scolipite,Brutapodite,Cerapendranit,Scolipedite,Scolipedita,펜드라나이트,蜈蚣王进化石,蜈蚣王進化石
ズルズキナイト,Scraftinite,Baggaïdite,Irokexonit,Scraftite,Scraftita,곤율거니나이트,头巾混混进化石,頭巾混混進化石
シビルドナイト,Eelektrossite,Ohmassacrite,Zapplarangonit,Eelektrossite,Eelektrossita,저리더프나이트,麻麻鳗鱼王进化石,麻麻鰻魚王進化石
シャンデラナイト,Chandelurite,Lugulabrite,Skelabranit,Chandelurite,Chandelurita,샹델라나이트,水晶灯火灵进化石,水晶燈火靈進化石
ブリガロナイト,Chesnaughtite,Blindépiquite,Brigaronit,Chesnaughtite,Chesnaughtita,브리가론나이트,布里卡隆进化石,布里卡隆進化石
マフォクシナイト,Delphoxite,Goupelinite,Fennexisnit,Delphoxite,Delphoxita,마폭시나이트,妖火红狐进化石,妖火紅狐進化石
ゲッコウガナイト,Greninjite,Amphinolite,Quajutsunit,Greninjite,Greninjanita,개굴닌자나이트,甲贺忍蛙进化石,甲賀忍蛙進化石
カエンジシナイト,Pyroarite,Néméliosite,Pyroleonit,Pyroarite,Pyroarita,화염레오나이트,火炎狮进化石,火炎獅進化石
フラエッテナイト,Floettite,Floettite,Floetteonit,Floettite,Floettita,플라엣테나이트,花叶蒂进化石,花葉蒂進化石
カラマネナイト,Malamarite,Sepiatrocite,Calamaneronit,Malamarite,Malamarita,칼라마네로나이트,乌贼王进化石,烏賊王進化石
ガメノデスナイト,Barbaracite,Golgopathite,Thanathoranit,Barbaraclite,Barbaraclita,거북손데스나이트,龟足巨铠进化石,龜足巨鎧進化石
ドラミドナイト,Dragalgite,Kravarekite,Tandraknit,Dragalgite,Dragalgita,드래캄나이트,毒藻龙进化石,毒藻龍進化石
ルチャブルナイト,Hawluchanite,Brutalibrite,Resladeronit,Hawluchanite,Hawluchanita,루차불나이트,摔角鹰人进化石,摔角鷹人進化石
ジガルデナイト,Zygardite,Zygardite,Zygardenit,Zygardite,Zygardita,지가르데나이트,基格尔德进化石,基格爾德進化石
ジジーロナイト,Drampanite,Draïeulite,Sen-Longnit,Drampite,Drampanita,할비롱나이트,老翁龙进化石,老翁龍進化石
タイレーツナイト,Falinksite,Hexadronite,Legiosnit,Falinksite,Falinksita,대여르나이트,列阵兵进化石,列陣兵進化石
ライチュウナイトX,Raichunite X,Raichunite X,Raichunit X,Raichunite X,Raichunita X,라이츄나이트X,雷丘进化石X,雷丘進化石X
ライチュウナイトY,Raichunite Y,Raichunite Y,Raichunit Y,Raichunite Y,Raichunita Y,라이츄나이트Y,雷丘进化石Y,雷丘進化石Y
チリーンナイト,Chimechite,Éokoite,Palimpalimnit,Chimechite,Chimechita,치렁나이트,风铃铃进化石,風鈴鈴進化石
アブソルナイトZ,Abosolite Z,Abosolite Z,Abosolnit Z,Abosolite Z,Abosolita Z,앱솔나이트Z,阿勃梭鲁进化石Z,阿勃梭魯進化石Z
ムクホークナイト,Staraptite,Étouraptorite,Staraptornit,Staraptorite,Staraptorita,찌르호크나이트,姆克鹰进化石,姆克鷹進化石
ルカリオナイトZ,Lucarionite Z,Lucarite Z,Lucarionit Z,Lucarite Z,Lucarita Z,눈설왕나이트Z,路卡利欧进化石Z,路卡利歐進化石Z
ヒードラナイト,Heatranite,Heatranite,Heatranit,Heatranite,Heatranita,히드런나이트,席多蓝恩进化石,席多藍恩進化石
ダークライナイト,Darkranite,Darkraïte,Darkrainit,Darkraite,Darkrainita,다크라이나이트,达克莱伊进化石,達克萊伊進化石
ゴルーグナイト,Golurkite,Golemastokite,Golgantesnit,Golurkite,Golurkita,골루그나이트,泥偶巨人进化石,泥偶巨人進化石
ニャオニクスナイト,Meowsticite,Psiaugonit,Mistigrixite,Meowsticite,Meowsticita,냐오닉스나이트,超能妙喵进化石,超能妙喵進化石
